BattlefyName,IGN,Pokepaste
daviidalcora77,Moria,"=HYPERLINK(""https://pokepast.es/1a66905048859c5d"")"
Akram Hamdi,Ak,"=HYPERLINK(""https://pokepast.es/142af4a2879df227"")"
Divanosauro97,andrea,"=HYPERLINK(""https://pokepast.es/9fcd0a376fa8869c"")"
☆Darien★,☆Darien★,"=HYPERLINK(""https://pokepast.es/6b7c849e7134d07a"")"
albertonp1999,Noguerol,"=HYPERLINK(""https://pokepast.es/f029ac88d2ebc164"")"
Lucas Mester,Lucas,"=HYPERLINK(""https://pokepast.es/f82631ef66a5267a"")"
EV7,Sapphire,"=HYPERLINK(""https://pokepast.es/f4f81069f9016d3f"")"
EmbracingVGC,sebas,"=HYPERLINK(""https://pokepast.es/85caf50d58c46464"")"
aitzolrobles13,Maco,"=HYPERLINK(""https://pokepast.es/b71383f43608d121"")"
1_vwl,Ulrich,"=HYPERLINK(""https://pokepast.es/4bd2e388827dcdf2"")"
brandonrodri2013,B-Rod,"=HYPERLINK(""https://pokepast.es/d4286ecdcb4fbf3a"")"
tomochi,Mel,"=HYPERLINK(""https://pokepast.es/b1a1b72fab46e29b"")"
javihans10,Javi,"=HYPERLINK(""https://pokepast.es/0939c5f3f15468c2"")"
gassy george,navey doodle,"=HYPERLINK(""https://pokepast.es/37c0222e952edd13"")"
sergio230910,Sergio,"=HYPERLINK(""https://pokepast.es/2dde08ab5ee03076"")"
DokucaleVGC,Dokucale,"=HYPERLINK(""https://pokepast.es/a4baf5f948b8920f"")"
danielebianchi94,Daorys,"=HYPERLINK(""https://pokepast.es/3d3a6c1632312cab"")"
dathluke,Dathluke,"=HYPERLINK(""https://pokepast.es/8830c83cb291747b"")"
raekashi808,Raekashi,"=HYPERLINK(""https://pokepast.es/06593c15c1ad6691"")"
mtfmariano,Tuba,"=HYPERLINK(""https://pokepast.es/725ea7423eccf6cf"")"
Nestfloh,Flobert,"=HYPERLINK(""https://pokepast.es/92ccb6987ce00db9"")"
Fab0,Fab,"=HYPERLINK(""https://pokepast.es/e8d260ba7542aee5"")"
